"filename", "language", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"y:\mc\view\assets\components\cardHeader.js", "JavaScript", 0, 0, 4, 0, 0, 4
"y:\mc\view\assets\components\page\Settings.js", "JavaScript", 0, 0, 2, 0, 0, 2
"y:\mc\view\assets\components\page\accountSetting.js", "JavaScript", 0, 0, 58, 0, 2, 60
"y:\mc\view\assets\components\page\generalSetting.js", "JavaScript", 0, 0, -27, 0, 0, -27
"y:\mc\view\assets\components\window\colorChooser.js", "JavaScript", 0, 0, 64, 0, 0, 64
"y:\mc\view\assets\components\window\gameInstall.js", "JavaScript", 0, 0, 32, 0, 2, 34
"y:\mc\view\assets\components\window\msLogin.js", "JavaScript", 0, 0, 19, 0, 2, 21
"y:\mc\view\assets\scripts\ac-colors.min.js", "JavaScript", 0, 0, 1, 0, 0, 1
"y:\mc\view\assets\scripts\auth.js", "JavaScript", 0, 0, -26, 0, 0, -26
"y:\mc\view\assets\scripts\input.js", "JavaScript", 0, 0, -25, 0, 0, -25
"y:\mc\view\assets\scripts\onload.js", "JavaScript", 0, 0, 23, 0, -1, 22
"y:\mc\view\assets\scripts\ui.js", "JavaScript", 0, 0, 113, 4, 2, 119
"y:\mc\view\assets\styles\control.css", "CSS", 0, 81, 0, 2, 15, 98
"y:\mc\view\assets\styles\font-icon.css", "CSS", 0, 9, 0, 0, 3, 12
"y:\mc\view\assets\styles\font.css", "CSS", 0, 4, 0, 0, 3, 7
"y:\mc\view\assets\styles\index.css", "CSS", 0, 24, 0, 2, 7, 33
"y:\mc\view\index.html", "HTML", -36, 0, 0, 0, 0, -36
"Total", "-", -36, 118, 238, 8, 35, 363